Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,7-Day_MA,30-Day_MA,Volatility,RSI,Upper_Band,Lower_Band
2023-12-04,20601.95,20702.65,20507.75,20686.8,381107418.0,33917.52,0.020668150129021567,20095.835714285717,19553.626666666663,0.007303461269170807,88.51804150717653,20728.160485043794,19463.51094352764
2023-12-05,20808.9,20864.05,20711.15,20855.1,421008350.0,41763.52,0.00813562271593482,20246.278571428575,19597.375,0.007302756870298694,94.37241942286266,21034.29861317272,19458.25852968443
2023-12-06,20950.75,20961.95,20852.15,20937.7,359212958.0,35654.76,0.003960661900446416,20409.56428571429,19652.573333333337,0.006690342287689282,93.74531843481424,21233.768222278286,19585.36034915029
2023-12-07,20932.4,20941.25,20850.8,20901.15,274985308.0,24862.43,-0.001745654966877841,20554.057142857142,19711.873333333337,0.006419163111985491,90.94683999265521,21304.26535046479,19803.848935249494
2023-12-08,20934.1,21006.1,20862.7,20969.4,292440768.0,27449.96,0.0032653705657343934,20678.742857142857,19782.278333333332,0.005575814984487411,93.55542595274918,21361.206771765366,19996.27894252035
2023-12-11,20965.3,21026.1,20923.7,20997.1,212921451.0,21150.17,0.0013209724646388032,20802.16428571429,19847.273333333334,0.005450742627772111,96.2507302589133,21315.769356802568,20288.559214626013
2023-12-12,21018.55,21037.9,20867.15,20906.4,244867128.0,25404.64,-0.004319644141333678,20893.37857142857,19906.123333333333,0.005612862431215016,90.01757220647163,21098.108782984633,20688.648359872506
2023-12-13,20929.75,20950.0,20769.5,20926.35,260269318.0,25918.44,0.0009542532430260042,20927.600000000002,19967.681666666667,0.005505762316306227,89.94752510137805,21021.003622342225,20834.19637765778
2023-12-14,21110.4,21210.9,21074.45,21182.7,334410589.0,32593.42,0.012250105727946048,20974.4,20040.8,0.005545269804775885,92.0275597436751,21170.315687648163,20778.48431235184
2023-12-15,21287.45,21492.3,21235.3,21456.65,508761756.0,50114.46,0.012932723401643864,21048.535714285714,20118.246666666666,0.005757429189165915,93.4968050132758,21457.045101017047,20640.02632755438
2023-12-18,21434.8,21482.8,21365.35,21418.65,249668965.0,23615.28,-0.0017710127163373945,21122.464285714286,20191.181666666667,0.0058418724331397096,91.31597043710153,21589.60015358103,20655.328417847544
2023-12-19,21477.65,21505.05,21337.75,21453.1,249750062.0,23750.61,0.0016084113611267714,21191.56428571429,20259.22666666667,0.0057475317871894015,90.37831065854685,21694.748485632786,20688.38008579579
2023-12-20,21543.5,21593.0,21087.35,21150.15,363886229.0,30993.12,-0.014121502253753415,21213.428571428572,20317.341666666667,0.006549356120931283,76.57758896030529,21689.764562290566,20737.09258056658
2023-12-21,21033.95,21288.35,20976.8,21255.05,277548079.0,26001.02,0.00495977569899031,21263.235714285718,20377.726666666666,0.006557167443437958,76.13640622051624,21655.19192235956,20871.279506211875
