Date,Price,Open,High,Low,Change %
16-10-2024,6.885,6.872,6.89,6.872,1.71%
15-10-2024,6.769,6.794,6.794,6.765,-0.19%
14-10-2024,6.782,6.788,6.788,6.767,-0.09%
11-10-2024,6.788,6.77,6.798,6.767,0.18%
10-10-2024,6.776,6.805,6.805,6.75,0.15%
09-10-2024,6.766,6.818,6.818,6.741,-0.59%
08-10-2024,6.806,6.845,6.845,6.802,-0.58%
07-10-2024,6.846,6.846,6.853,6.813,0.25%
04-10-2024,6.829,6.793,6.838,6.792,0.77%
03-10-2024,6.777,6.751,6.779,6.744,0.67%
01-10-2024,6.732,6.759,6.759,6.73,-0.27%
30-09-2024,6.75,6.76,6.76,6.744,-0.13%
27-09-2024,6.759,6.747,6.767,6.723,0.61%
26-09-2024,6.718,6.74,6.74,6.706,-0.30%
25-09-2024,6.738,6.753,6.753,6.735,-0.34%
24-09-2024,6.761,6.768,6.77,6.754,-0.09%
23-09-2024,6.767,6.775,6.775,6.759,0.09%
20-09-2024,6.761,6.768,6.769,6.747,0.04%
19-09-2024,6.758,6.793,6.793,6.736,-0.31%
17-09-2024,6.779,6.775,6.781,6.753,0.25%
16-09-2024,6.762,6.797,6.797,6.759,-0.44%
13-09-2024,6.792,6.819,6.819,6.784,-0.28%
12-09-2024,6.811,6.835,6.835,6.806,-0.28%
11-09-2024,6.83,6.84,6.841,6.827,-0.31%
10-09-2024,6.851,6.855,6.855,6.85,-0.04%
09-09-2024,6.854,6.861,6.861,6.852,0.00%
06-09-2024,6.854,6.852,6.855,6.846,-0.01%
05-09-2024,6.855,6.853,6.856,6.851,-0.06%
04-09-2024,6.859,6.861,6.863,6.857,-0.16%
03-09-2024,6.87,6.885,6.885,6.869,-0.09%
02-09-2024,6.876,6.877,6.878,6.865,0.19%
30-08-2024,6.863,6.872,6.872,6.862,-0.01%
29-08-2024,6.864,6.87,6.87,6.862,0.04%
28-08-2024,6.861,6.858,6.866,6.856,0.00%
27-08-2024,6.861,6.863,6.863,6.854,0.15%
