Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-Oct-23,19737.25,19781.3,19691.85,19731.75,180964341,14746.01
17-Oct-23,19843.2,19849.75,19775.65,19811.5,185846716,16839.87
18-Oct-23,19820.45,19840.95,19659.95,19671.1,198942937,18581.64
19-Oct-23,19545.2,19681.8,19512.35,19624.7,230312163,23582.01
20-Oct-23,19542.15,19593.8,19518.7,19542.65,198341255,17944.31
23-Oct-23,19521.6,19556.85,19257.85,19281.75,176044288,16212.9
25-Oct-23,19286.45,19347.3,19074.15,19122.15,225291741,19818.32
26-Oct-23,19027.25,19041.7,18837.85,18857.25,300356469,28939.64
27-Oct-23,18928.75,19076.15,18926.65,19047.25,205201044,19947.48
30-Oct-23,19053.4,19158.5,18940,19140.9,180132492,17095.73
31-Oct-23,19232.95,19233.7,19056.45,19079.6,206049341,19397.36
01-Nov-23,19064.05,19096.05,18973.7,18989.15,194103279,18452.51
02-Nov-23,19120,19175.25,19064.15,19133.25,245595109,19771.49
03-Nov-23,19241,19276.25,19210.9,19230.6,189516123,17304.87
06-Nov-23,19345.85,19423,19309.7,19411.75,180690631,16296.56
07-Nov-23,19404.05,19423.5,19329.1,19406.7,198660124,18288.06
08-Nov-23,19449.6,19464.4,19401.5,19443.5,194967997,17060.45
09-Nov-23,19457.4,19463.9,19378.35,19395.3,208418472,19087.29
10-Nov-23,19351.85,19451.3,19329.45,19425.35,152215785,12916.21
12-Nov-23,19547.25,19547.25,19510.25,19525.55,37311902,2482.27
13-Nov-23,19486.75,19494.4,19414.75,19443.55,189275733,13527.22
15-Nov-23,19651.4,19693.2,19579.65,19675.45,291464988,24957.24
16-Nov-23,19674.7,19875.25,19627,19765.2,282686669,26041.45
17-Nov-23,19674.75,19806,19667.45,19731.8,236827462,21681.28
20-Nov-23,19731.15,19756.45,19670.5,19694,173780543,16737.05
21-Nov-23,19770.9,19829.1,19754.05,19783.4,194969012,17947.2
22-Nov-23,19784,19825.55,19703.85,19811.85,184497984,17405.48
23-Nov-23,19828.45,19875.15,19786.75,19802,170024085,15906.94
24-Nov-23,19809.6,19832.85,19768.85,19794.7,145895044,14389.29
28-Nov-23,19844.65,19916.85,19800,19889.7,229595031,23043.25
29-Nov-23,19976.55,20104.65,19956.3,20096.6,236241768,22367.64
30-Nov-23,20108.5,20158.7,20015.85,20133.15,486585349,48877.95
01-Dec-23,20194.1,20291.55,20183.7,20267.9,265812566,22461.53
04-Dec-23,20601.95,20702.65,20507.75,20686.8,381107418,33917.52
05-Dec-23,20808.9,20864.05,20711.15,20855.1,421008350,41763.52
06-Dec-23,20950.75,20961.95,20852.15,20937.7,359212958,35654.76
07-Dec-23,20932.4,20941.25,20850.8,20901.15,274985308,24862.43
08-Dec-23,20934.1,21006.1,20862.7,20969.4,292440768,27449.96
11-Dec-23,20965.3,21026.1,20923.7,20997.1,212921451,21150.17
12-Dec-23,21018.55,21037.9,20867.15,20906.4,244867128,25404.64
13-Dec-23,20929.75,20950,20769.5,20926.35,260269318,25918.44
14-Dec-23,21110.4,21210.9,21074.45,21182.7,334410589,32593.42
15-Dec-23,21287.45,21492.3,21235.3,21456.65,508761756,50114.46
18-Dec-23,21434.8,21482.8,21365.35,21418.65,249668965,23615.28
19-Dec-23,21477.65,21505.05,21337.75,21453.1,249750062,23750.61
20-Dec-23,21543.5,21593,21087.35,21150.15,363886229,30993.12
21-Dec-23,21033.95,21288.35,20976.8,21255.05,277548079,26001.02
22-Dec-23,21295.85,21390.5,21232.45,21349.4,284708918,27709.29
26-Dec-23,21365.2,21477.15,21329.45,21441.35,219467748,20081.33
